Summons Number,Plate ID,Registration State,Plate Type,Issue Date,Violation Code,Vehicle Body Type,Vehicle Make,Issuing Agency,Street Code1,Street Code2,Street Code3,Vehicle Expiration Date,Violation Location,Violation Precinct,Issuer Precinct,Issuer Code,Issuer Command,Issuer Squad,Violation Time,Time First Observed,Violation County,Violation In Front Of Or Opposite,House Number,Street Name,Intersecting Street,Date First Observed,Law Section,Sub Division,Violation Legal Code,Days Parking In Effect    ,From Hours In Effect,To Hours In Effect,Vehicle Color,Unregistered Vehicle?,Vehicle Year,Meter Number,Feet From Curb,Violation Post Code,Violation Description,No Standing or Stopping Violation,Hydrant Violation,Double Parking Violation
1491515661,LFN3910,NY,PAS,06/14/2025,40,SDN,HONDA,P,36990,11710,13610,20251025,0033,33,33,973994,0033,0000,0955P,,NY,F,562,W 161 ST,,0,408,C,,BBBBBBB,ALL,ALL,,0,2024,-,0,,,,,
1493960805,JLM8408,NY,PAS,06/14/2025,50,SUBN,JEEP,P,55516,45231,25880,20250827,121,121,121,975942,0121,0000,0925A,,R,F,444,WILLOW RD W,,0,408,E3,,BBBBBBB,ALL,ALL,WHITE,0,2019,-,0,,,,,
1497742031,HYT3572,NY,PAS,06/14/2025,9,P-U,DODGE,P,0,41920,0,20260531,0050,50,50,971047,0050,0000,0930A,,BX,,,W 235,INDEPENDENCE AVE,0,408,E1,,BBBBBBB,ALL,ALL,WHT,0,2017,-,0,,,,,
1486825771,UB5,NY,PAS,06/15/2025,17,SDN,CADIL,M,17870,25390,32670,20240420,0014,14,968,270545,0968,0000,1015A,,NY,F,49,EAST 44TH ST,,0,408,C4,,BBBBBBB,ALL,ALL,GRY,0,2018,-,0,,,,,
1491023454,LAS2060,99,PAS,06/15/2025,40,SUBN,DODGE,P,32420,35680,13820,20250328,0047,47,47,972506,0047,0000,0549A,,BX,F,3327,FENTON AVENUE,,0,408,E2,,BBBBBBB,ALL,ALL,WHITE,0,2019,-,0,,,,,
1489517881,JKX1433,NY,PAS,06/15/2025,40,SUBN,ME/BE,P,72630,5380,5530,20250929,0078,78,78,974352,0078,0000,1010P,1010P,,F,78,PPW,,20250615,408,C4,,BBBBBBB,ALL,ALL,,0,0,-,0,,,,,
1493555686,KAY6927,NY,PAS,06/15/2025,14,SUBN,FORD,K,409,34230,0,20260719,0010,10,1,160151,0001,0000,0222P,,NY,F,,HUDSON RIVER PARK,W 23 ST,0,408,C,,BBBBBBB,ALL,ALL,BLUE,0,2021,-,0,,,,,
1494110817,Z79UBA,NJ,PAS,06/15/2025,40,VAN,HONDA,P,25860,78150,15720,20250120,0040,40,40,978168,0040,0000,0331A,,BX,O,430,E 140 ST,,0,408,F7,,BBBBBBB,ALL,ALL,BLK,0,2006,-,0,,,,,
1494170577,JGH2916,NY,PAS,06/15/2025,46,SUBN,KIA,P,27030,16120,13820,20250317,0048,48,48,977643,0048,0000,0719P,,,F,1010,EAST 179 ST,,0,408,J3,,BBBBBBB,ALL,ALL,BLUE,0,0,-,0,,,,,
1492289243,LGG4552,NY,PAS,06/16/2025,14,SDN,BMW,P,36590,10610,10810,20250508,,0,32,975175,0032,0000,1217A,,NY,O,202,WEST 141 ST,,0,408,F7,,BBBBBBB,ALL,ALL,WHITE,0,2015,-,0,,,,,
1493735238,BLANKPLATE,99,999,06/16/2025,75,VAN,TOYOT,P,64830,41730,40230,0,0067,67,62,976605,0062,0000,0925P,,K,,1416,NEW YORK AVE,,0,408,99,,BBBBBBB,ALL,ALL,GRY,0,2006,-,0,,,,,
1495560934,P25UFK,NJ,PAS,06/16/2025,14,SUBN,KIA,P,91080,20670,20030,20250320,0060,60,60,970234,0060,0000,0224P,,K,O,3027,W 12 ST,,0,408,C,,BBBBBBB,ALL,ALL,BLK,0,2021,-,0,,,,,
1495733439,JHS4355,NY,PAS,06/16/2025,40,SDN,ME/BE,P,69120,58320,71120,20250506,0044,44,49,961737,0049,0000,0933A,,BX,F,1629,TOMLINSON AVE,,0,408,99,,BBBBBBB,ALL,ALL,WHITE,0,2016,-,0,,,,,
1491803800,KKE3786,NY,PAS,06/17/2025,50,SDN,HYUND,P,0,40404,40404,20250203,114,114,114,975269,0114,0000,0320A,,Q,F,28-01,STEINWAY,,0,408,E3,,BBBBBBB,ALL,ALL,BLU,0,2013,-,0,,,,,
1486491686,84695MM,NY,COM,06/17/2025,78,VAN,FORD,P,26540,40404,40404,20250331,111,111,111,964437,0111,0000,0205A,0200A,Q,O,285-55,214 PLACE,,20250617,408,K6,,BBBBBBB,ALL,ALL,RED,0,2017,-,0,,,,,
1492306484,FTT7013,NY,PAS,06/17/2025,40,SDN,ME/BE,P,19190,13140,13040,20251128,112,112,112,961206,0112,0000,0653A,,Q,F,63-36,99 ST,,0,408,F2,,BBBBBBB,ALL,ALL,WHITE,0,2023,-,0,,,,,
1473069865,482672,99,OMT,06/18/2025,50,AE,HONDA,P,0,0,0,20220625,120,120,120,965500,0120,0000,0106P,,R,F,,I/O QUINN ST,BROAD ST,0,408,F2,,BBBBBBB,ALL,ALL,RD,0,0,-,0,,,,,
1491745472,K33FBN20,NY,PAS,06/18/2025,71,SDN,BMW,P,84430,12330,25730,20210825,0066,66,66,971556,0066,0000,0635A,,K,,78,TEHAMA ST,,0,408,F2,,BBBBBBB,ALL,ALL,ORANG,0,2016,-,0,,,,,
1493050175,KZH6502,NY,PAS,06/18/2025,19,SDN,TOYOT,P,0,40404,40404,20250301,0063,63,63,972922,0063,0000,0410P,,,F,5100,KING PLZ,,0,408,F2,,BBBBBBB,ALL,ALL,,0,0,-,0,,,,,
1494027768,DKH9915,NY,PAS,06/18/2025,50,SDN,TOYOT,P,0,0,0,20250926,0084,84,84,959545,0084,0000,0312P,,K,F,,S/E/C/O PEARL ST,JOHN ST,0,408,C3,,BBBBBBB,ALL,ALL,SILVE,0,2006,-,0,,,,,
1488033675,JPB4914,NY,PAS,06/19/2025,51,,CHEVR,P,0,40404,40404,20231130,0010,10,0,961624,08O4,0000,0515P,,,F,450,WEAST 27 DR,,0,408,E3,,BBBBBBB,ALL,ALL,,0,2019,-,0,,,,,
1490578390,LEJ3611,NY,PAS,06/19/2025,14,SUBN,FORD,K,33340,62200,0,20251018,100,100,3,160259,0003,0000,0314P,,Q,F,,B 97,SHORE FRONT PARKWAY,0,408,C,,BBBBBBB,ALL,ALL,GRAY,0,2017,-,0,,,,,
1488919689,JPY6405,NY,PAS,06/19/2025,74,SUBN,NISSA,P,19140,26640,26690,20260204,105,105,105,957842,0105,0000,0825A,,Q,F,215-22,99 AVE,,0,408,99,,BBBBBBB,ALL,ALL,BL,0,2007,-,0,,,,,
1490151606,KKB8142,NY,PAS,06/20/2025,14,SUBN,TOYOT,L,17390,13113,31710,20250228,0013,13,839,111106,0839,0000,0815P,0700P,NY,O,450,EAST 20TH ST,,0,408,C,,BBBBBBB,ALL,ALL,BL,0,2021,-,0,,,,,
1496606164,JJM8467,NY,PAS,06/20/2025,20,SDN,ME/BE,Y,26630,36530,36580,20250530,0071,71,976,101269,0976,0000,0147P,,K,O,541,CLARKSON AVE,,0,408,C,,BBBBBBB,ALL,ALL,GRY,0,2013,-,0,,,,,
1495460459,18080BT,NY,999,06/20/2025,14,,FRUEH,P,28110,15020,0,20250228,0047,47,47,972120,0047,0000,0142A,0142A,BX,F,,E 216 ST,BRONX BLVD,20250620,408,C,,BBBBBBB,ALL,ALL,YELLO,0,2018,-,0,,,,,
1495820506,GDB3937,NY,PAS,06/20/2025,71,SDN,NISSA,P,37030,26230,77930,20250121,0067,67,67,977084,0067,0000,1016P,,,F,458,E 51 ST,,0,408,F2,,BBBBBBB,ALL,ALL,BLK,0,2012,-,0,,,,,
1495540091,LFN9940,NY,PAS,06/21/2025,98,SDN,HONDA,P,28320,77150,10620,20251129,0047,47,47,977738,0047,0000,0713P,0713P,NY,F,725,E 223 ST,,20250621,408,F2,,BBBBBBB,ALL,ALL,GRY,0,2020,-,0,,,,,
1490786685,V81NCJ,NJ,PAS,06/22/2025,98,SDN,INFIN,P,36480,26430,13880,0,0067,67,67,974033,0067,0000,0005A,0000A,K,F,618,E 37,,0,408,D1,,BBBBBBB,ALL,ALL,BK,0,2022,-,0,,,,,
1492484313,KSS7499,NY,PAS,06/22/2025,40,,HONDA,P,0,40404,40404,20251125,110,110,110,976280,0110,0000,0913P,,,,90-11,WHITNEY,,0,408,K6,,BBBBBBB,ALL,ALL,,0,0,-,0,,,,,
1495579645,476896NE,NY,PAS,06/22/2025,40,VAN,FORD,P,27880,40404,40404,20260207,0023,23,72,964216,0072,0000,0950P,,K,F,896,PARK PL,,0,408,C3,,BBBBBBB,ALL,ALL,WHT,0,0,-,0,,,,,
1494170966,LCB6575,NY,PAS,06/23/2025,46,SDN,BMW,P,27270,73720,56820,20250420,0048,48,48,977072,0048,0000,0950P,,,F,415,E 187 ST,,0,408,E2,,BBBBBBB,ALL,ALL,,0,0,-,0,,,,,
1494318118,33600NE,NY,COM,06/23/2025,78,VAN,,P,36070,13610,29690,20250930,0026,26,26,976172,0026,0000,0938P,,NY,O,600,W 115 ST,,0,408,C,,BBBBBBB,ALL,ALL,,0,0,-,0,,,,,
1495562682,KJF6819,NY,PAS,06/23/2025,46,VAN,TOYOT,P,83630,0,0,20250713,0060,60,60,972071,0060,0000,0252P,1952P,K,,,SURF AVE,SEABREEZE,20250623,408,F2,,BBBBBBB,ALL,ALL,,0,0,-,0,,,,,
1496931257,BLANKPLATE,99,999,06/23/2025,70,SUBN,TOYOT,P,25840,40404,40404,0,103,103,103,936255,0103,0000,0700P,,Q,F,96-19,198 ST,,0,408,K6,,BBBBBBB,ALL,ALL,GY,0,2004,-,0,,,,,
1497713237,JGP3969,NY,PAS,06/23/2025,98,SUBN,NISSA,P,58830,11430,11450,20250507,0068,68,68,970160,0068,0000,1233P,,K,F,188,MARINE AVE,,0,408,E2,,BBBBBBB,ALL,ALL,GRN,0,2015,-,0,,,,,
1489088210,HRC3564,NY,PAS,06/23/2025,14,SUBN,,P,35020,26670,26700,20250623,0044,44,44,959633,0044,0000,0903A,,BX,F,1220,GERARD AVE,,0,408,C,,YYYYYBB,0700A,0400P,BLU,0,2019,-,0,,,,,
1492249257,LGI3038,NY,PAS,06/23/2025,14,,ROVER,P,19370,25390,0,20251030,0025,25,25,967996,0025,0000,0730P,,,O,,E 121,MADISON AVE,0,408,F1,,BBBBBBB,ALL,ALL,,0,0,-,0,,,,,
1492249348,DA968644,99,PAS,06/23/2025,46,VAN,GMC,P,0,25390,0,20240816,0025,25,25,967996,0025,0000,0708P,1907P,,O,,E 122,MADISON AVE,0,408,F1,,BBBBBBB,ALL,ALL,WHITE,0,2023,-,0,,,,,
1495656536,2M8769,NC,PAS,06/23/2025,21,DELV,,P,10610,36110,36130,0,0028,28,38,973649,0038,0000,0925P,,NY,F,1954,7TH AVE,,0,408,I4,,BBBBBBB,ALL,ALL,,0,0,-,0,,,,,
1491468671,KHV1275,NY,PAS,06/24/2025,46,SUBN,JEEP,P,78550,74240,74250,20250128,0044,44,44,975263,0044,0000,0800P,0800P,BX,F,1115,WOODYCREST,,0,408,D1,,BBBBBBB,ALL,ALL,BK,0,0,-,0,,,,,
1493156858,SRS1559,TX,PAS,06/24/2025,46,SDN,HONDA,P,52120,29020,27540,20230317,0052,52,52,970184,0052,0000,0219A,,BX,F,2693,MORRIS AVE,,0,408,F1,,BBBBBBB,ALL,ALL,GRAY,0,2020,-,0,,,,,
1493030462,LHR9176,NY,PAS,06/24/2025,46,SDN,ROVER,P,83630,91080,48530,20260207,0060,60,60,972933,0060,0000,0612P,,K,F,1214,SURF AVE,,0,408,F1,,BBBBBBB,ALL,ALL,GRY,0,2024,-,0,,,,,
1490385563,T691240C,NY,OMT,06/24/2025,14,SUBN,JEEP,Y,57720,70635,70635,20250228,0049,49,976,101601,0976,0000,0718A,,BX,F,1400,PELHAM PKWY SOUTH,,0,408,E1,,BBBBBBB,ALL,ALL,WHT,0,2021,-,0,,,,,
1495902006,GGF5765,NY,PAS,06/24/2025,27,,,P,56030,73430,23530,20250623,0077,77,77,978292,0077,0000,0735P,0735P,,F,1531,LINCOLN PLACE,,20250624,408,K6,,BBBBBBB,ALL,ALL,,0,0,-,0,,,,,
1490598248,GZZ9790,NY,PAS,06/25/2025,14,SDN,TOYOT,K,13430,53830,42850,20230720,0084,84,4,160185,0004,0000,0828P,,K,F,2,ATLANTIC AVE,,0,408,E3,,BBBBBBB,ALL,ALL,GY,0,2018,-,0,,,,,
1490612555,KSX1433,PA,PAS,06/25/2025,20,SDN,NISSA,K,0,13820,0,0,0084,84,4,161040,0004,0000,0320P,,K,O,159,BRIDGE PK DR,BROOKLYN BRIDGE PK,0,408,D,,BBBBBBB,ALL,ALL,,0,0,-,0,,,,,
1489729148,2121014,NY,OML,06/25/2025,48,SDN,CHEVR,P,78430,53970,50530,20240430,0090,90,90,974685,0090,0000,0911A,,K,F,351,S 4 ST,,0,408,F1,,BBBBBBB,ALL,ALL,BK,0,2012,-,0,,,,,
1491327510,LFA1188,NY,PAS,06/25/2025,40,SUV,HONDA,P,36130,41730,40230,20250925,0070,70,68,978306,0068,0000,0908P,,K,F,512,E 29TH ST,,0,408,F2,,BBBBBBB,ALL,ALL,BLK,0,2022,-,0,,,,,
1491606228,CPY9435,NY,PAS,06/25/2025,14,SUBN,HONDA,8,29620,24790,30915,20251024,0043,43,2,378,0002,0000,0358A,,BX,F,1990,E TREMONT,,0,408,C4,,BBBBBBB,ALL,ALL,WHITE,0,2008,-,0,,,,,
1493401816,KUG6856,NY,PAS,06/25/2025,21,SDN,,P,33140,60790,42170,20240718,100,100,100,970797,0100,0000,1205P,,NY,F,220,B 92 ST,,0,408,D1,,BBBBBBB,ALL,ALL,GRY,0,2010,-,0,,,,,
1493774750,JPL4393,NY,PAS,06/25/2025,46,SDN,ME/BE,C,7830,9600,23800,20260123,0045,45,0,100364,CCPD,0000,0530P,,,F,100,ALCOTT PLACE,,0,408,F1,,BBBBBBB,ALL,ALL,BLACK,0,2020,-,0,,,,,
1491468713,KYV1538,NY,PAS,06/26/2025,46,SDN,HONDA,P,55220,74210,74240,20240920,0044,44,44,975263,0044,0000,0735P,0735P,BX,F,1070,OGDEN AVE,,20250626,408,F1,,BBBBBBB,ALL,ALL,WHITE,0,2019,-,0,,,,,
1492252396,JNF5369,NY,PAS,06/26/2025,46,SUBN,CHEVR,P,19620,10410,0,20231210,0025,25,25,975205,0025,0000,0813P,,NY,,,E 135 ST,5 AVE,0,408,F1,,BBBBBBB,ALL,ALL,BLACK,0,2005,-,0,,,,,
1493230244,JYM1923,PA,PAS,06/26/2025,46,VAN,BMW,P,0,0,0,20240324,0060,60,60,964599,0060,0000,0924P,0924P,,,,SAF,WEST 15,0,408,K6,,BBBBBBB,ALL,ALL,BL,0,0,-,0,,,,,
1494029110,A30NZL,NJ,PAS,06/26/2025,74,SUBN,NISSA,P,70430,49630,48830,0,0084,84,84,959545,0084,0000,1015A,,K,F,82,PIERREPONT ST,,0,408,C4,,BBBBBBB,ALL,ALL,GRAY,0,0,-,0,,,,,
1494029133,XKJN67,NJ,PAS,06/26/2025,48,VAN,FORD,P,11800,53630,93250,0,0084,84,84,959545,0084,0000,0912A,,K,F,283,ADAMS ST,,0,408,C4,,BBBBBBB,ALL,ALL,WH,0,0,-,0,,,,,
1494029169,41795JX,NY,COM,06/26/2025,46,VAN,FORD,P,13430,48830,27530,20251130,0084,84,84,959545,0084,0000,1035A,,K,F,165,ATLANTIC AVE,,0,408,F1,,BBBBBBB,ALL,ALL,WH,0,2008,-,0,,,,,
1494029170,KHP2973,NY,PAS,06/26/2025,40,SDN,HONDA,P,68930,64330,5280,20250112,0084,84,84,959545,0084,0000,1052A,,K,F,483,PACIFIC ST,,0,408,F1,,BBBBBBB,ALL,ALL,WH,0,0,-,0,,,,,
1494029182,56054ML,NY,COM,06/26/2025,40,DELV,HIN,P,13430,77730,51030,20250430,0084,84,84,959545,0084,0000,1130A,,K,F,293,ATLANTIC AVE,,0,408,E2,,BBBBBBB,ALL,ALL,WH,0,2017,-,0,,,,,
1495595705,76153NF,NY,COM,06/26/2025,40,TRAC,FRUEH,P,23230,61730,94130,20250430,0081,81,81,961680,0081,0000,0701A,,K,O,1396,BROADWAY,,0,408,F2,,BBBBBBB,ALL,ALL,WHT,0,2008,-,0,,,,,
1495595717,DNS4141,FL,PAS,06/26/2025,40,SDN,HONDA,P,45930,70030,18950,20240310,0081,81,81,961680,0081,0000,0711A,,K,F,1046,GREENE AVE,,0,408,E2,,BBBBBBB,ALL,ALL,BLK,0,2015,-,1,,,,,
1491957773,GPK8182,NY,PAS,06/27/2025,98,VAN,CHEVR,P,57310,12550,12550,20240414,0052,52,52,969516,0052,0000,0627A,,BX,F,3500,PAUL AVE,,0,408,F1,,BBBBBBB,ALL,ALL,WHT,0,2013,-,0,,,,,
1452289074,EEH0214,IL,PAS,06/27/2025,99,SUBN,JEEP,P,18790,20640,20740,0,102,102,102,950393,0102,0000,0915A,0900A,Q,F,11309,95 AVE,,20240617,408,E2,,BBBBBBB,ALL,ALL,BL,0,2015,-,0,,,,,
1492542301,BW169U,99,PAS,06/27/2025,71,,FORD,P,14540,50290,38290,20251130,104,104,104,938220,0104,0000,0935A,,Q,O,58-35,69 LN,,0,408,F2,,BBBBBBB,ALL,ALL,GD,0,1995,-,0,,,,,
1499731644,F12REF,NJ,PAS,06/27/2025,20,,,P,0,40404,40404,20250723,0001,1,1,972983,0001,0000,0700A,,,F,92,GREENWICH,,0,408,D1,,BBBBBBY,ALL,ALL,,0,0,-,0,,,,,
1473495568,KYG6876,NY,PAS,06/28/2025,40,SDN,ME/BE,P,11110,34350,34370,20250221,0010,10,10,952621,0010,0000,0813P,,NY,F,311,11TH AVE,,0,408,C,,BBBBBBB,ALL,ALL,,0,0,-,0,,,,,
